Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
10,Pau Gasol,2014-15,34,CHI,NBA,22.7,78,78,2681,0.023,0.317,9.2,27.6,18.6,14.4,0.5,4,10.7,24.7,112,101,6,4.4,10.4,0.187,0.7,2.1,2.8,3.2
11,Brook Lopez,2014-15,26,BRK,NBA,22.7,72,44,2100,0.01,0.278,11.5,17.1,14.3,4.5,1.1,4.8,8.6,26.3,112,105,4.7,2.2,7,0.159,0.5,-0.3,0.2,1.1
12,Tim Duncan,2014-15,38,SAS,NBA,22.6,77,77,2227,0.009,0.38,8.8,26.7,17.9,16.8,1.4,5.1,12.1,22.2,113,97,4.9,4.7,9.6,0.207,0.8,4.7,5.5,4.2
13,Kawhi Leonard,2014-15,23,SAS,NBA,22,64,64,2033,0.234,0.307,4.8,20.6,12.9,13,3.7,1.8,9.4,23,113,96,4.2,4.4,8.6,0.204,2.6,3.5,6.1,4.1
14,Derrick Favors,2014-15,23,UTA,NBA,21.8,74,74,2280,0.007,0.362,10,20.7,15.4,9.4,1.4,4.3,10.2,23.8,113,102,5,3.3,8.3,0.175,0.8,1.7,2.4,2.6
15,Marc Gasol,2014-15,30,MEM,NBA,21.7,81,81,2687,0.016,0.41,4.9,21.8,13.4,19.7,1.4,4,12.2,24.6,111,100,5.5,4.7,10.2,0.182,1.3,3.5,4.8,4.6
16,Rudy Gobert,2014-15,22,UTA,NBA,21.6,82,37,2158,0.005,0.639,14.3,27.2,20.7,8.2,1.6,7,16.9,14,122,98,5,4.3,9.3,0.206,0.7,5.1,5.8,4.3
17,Kyrie Irving,2014-15,22,CLE,NBA,21.5,75,75,2730,0.306,0.296,2.3,7.5,5,25,2.2,0.6,11.8,26.2,117,108,8.4,2,10.4,0.183,4.7,-1.4,3.3,3.7
18,Nikola Vucevic,2014-15,24,ORL,NBA,21.5,74,74,2529,0.005,0.181,10.4,26,18.1,11,1.1,1.7,10.2,26,109,106,4.5,2.5,7,0.133,0.7,-0.1,0.5,1.6
19,Andre Drummond,2014-15,21,DET,NBA,21.4,82,82,2502,0.002,0.38,18.3,30.1,24,3.9,1.5,4.8,9.7,22,107,100,3.4,4.3,7.7,0.147,-1.2,1.1,-0.2,1.2
